english;dutch;alternatives
to abandon;verlaten;opgeven
to abolish;afschaffen
to absorb;absorberen;opnemen
to accelerate;versnellen
to accept;accepteren;aanvaarden
to accompany;vergezellen
to accomplish;volbrengen;bereiken
to accuse;beschuldigen
to acknowledge;erkennen
to acquire;verwerven;verkrijgen
to adapt;aanpassen
to address;aankaarten;toespreken;adres
to adjust;aanpassen;bijstellen
to admire;bewonderen
to admit;toegeven;toelaten
to adopt;aannemen;adopteren
to advise;adviseren
to affect;beïnvloeden
to afford;zich veroorloven
to agree;instemmen;het eens zijn
to aim;streven;richten
to allow;toestaan
to alter;wijzigen;veranderen
to amuse;vermaken
to analyse;analyseren
to announce;aankondigen
to anticipate;verwachten;voorzien
to apologise;excuses aanbieden;zich verontschuldigen
to appeal;aanspreken;in beroep gaan;beroep;aantrekkingskracht
to appear;verschijnen;lijken
to apply;toepassen;solliciteren
to appreciate;waarderen
to approach;benaderen;aanpak;benadering
to approve;goedkeuren
to argue;beweren;ruziemaken
to arise;ontstaan
to arrange;regelen;ordenen
to assess;beoordelen
to assume;aannemen;veronderstellen
to assure;verzekeren
to attach;bevestigen;hechten
to attain;bereiken
to attempt;proberen;poging
to attend;bijwonen
to attract;aantrekken
to avoid;vermijden
to ban;verbieden
to behave;zich gedragen
to belong;toebehoren
to blame;de schuld geven
to boost;stimuleren;verhogen
to bother;lastigvallen;moeite doen
to breathe;ademen
to calculate;berekenen
to capture;gevangennemen;vastleggen
to cease;ophouden;staken
to challenge;uitdagen;betwisten;uitdaging
to clarify;verduidelijken
to combine;combineren
to commit;begaan;zich verbinden
to compare;vergelijken
to compete;concurreren;wedijveren
to complain;klagen
to complete;voltooien
to concentrate;concentreren
to conclude;concluderen;afsluiten
to conduct;uitvoeren;leiden;gedrag
to confirm;bevestigen
to connect;verbinden
to consider;overwegen;beschouwen
to consist;bestaan
to construct;bouwen;construeren
to consume;consumeren;verbruiken
to contain;bevatten
to contribute;bijdragen
to convince;overtuigen
to cope;omgaan met;het hoofd bieden
to create;creëren;scheppen
to criticise;bekritiseren
to decline;afnemen;weigeren;afname;achteruitgang
to define;definiëren;omschrijven
to delay;uitstellen;vertragen
to deliver;bezorgen;leveren
to demand;eisen;vraag;eis
to demonstrate;aantonen;demonstreren
to deny;ontkennen
to depend;afhangen
to describe;beschrijven
to deserve;verdienen
to destroy;vernietigen
to detect;ontdekken;waarnemen
to determine;bepalen;vaststellen
to develop;ontwikkelen
to differ;verschillen
to disappear;verdwijnen
to discourage;ontmoedigen
to discover;ontdekken
to discuss;bespreken
to dismiss;ontslaan;afwijzen
to distinguish;onderscheiden
to distribute;verdelen;verspreiden
to divide;verdelen
to dominate;overheersen
to eliminate;elimineren;uitschakelen
to emerge;tevoorschijn komen;ontstaan
to emphasise;benadrukken
to enable;mogelijk maken
to encounter;tegenkomen
to encourage;aanmoedigen
to endure;verdragen;doorstaan
to enhance;verbeteren;versterken
to ensure;ervoor zorgen;waarborgen
to establish;oprichten;vaststellen
to estimate;schatten
to evaluate;evalueren;beoordelen
to examine;onderzoeken
to exceed;overschrijden
to exclude;uitsluiten
to expand;uitbreiden
to expect;verwachten
to experience;ervaren;ervaring
to explain;uitleggen
to exploit;uitbuiten;benutten
to explore;verkennen;onderzoeken
to express;uitdrukken
to extend;verlengen;uitbreiden
to face;onder ogen zien
to facilitate;vergemakkelijken
to fail;mislukken;zakken
to focus;zich richten
to forbid;verbieden
to force;dwingen
to forgive;vergeven
to fulfil;vervullen
to gather;verzamelen
to generate;opwekken;genereren
to handle;hanteren;afhandelen
to hesitate;aarzelen
to highlight;benadrukken;markeren
to identify;identificeren;herkennen
to ignore;negeren
to illustrate;illustreren;toelichten
to imagine;zich voorstellen
to imply;impliceren;suggereren
to impose;opleggen
to improve;verbeteren
to include;omvatten;opnemen
to indicate;aangeven
to influence;beïnvloeden;invloed
to inform;informeren
to insist;aandringen
to inspire;inspireren
to intend;van plan zijn;bedoelen
to interpret;interpreteren;uitleggen
to interrupt;onderbreken
to introduce;introduceren;invoeren
to investigate;onderzoeken
to involve;betrekken;inhouden
to justify;rechtvaardigen
to lack;ontbreken;gebrek
to launch;lanceren;starten
to maintain;handhaven;onderhouden
to measure;meten;maatregel;maat
to mention;vermelden
to neglect;verwaarlozen
to negotiate;onderhandelen
to observe;waarnemen;observeren
to obtain;verkrijgen
to occur;plaatsvinden;voorkomen
to oppose;zich verzetten tegen
to overcome;overwinnen
to participate;deelnemen
to perceive;waarnemen;opvatten
to perform;uitvoeren;optreden
to persuade;overhalen;overtuigen
to predict;voorspellen
to preserve;behouden;beschermen
to prevent;voorkomen
to proceed;doorgaan
to promote;bevorderen;promoten
to propose;voorstellen
to prove;bewijzen
to provide;verschaffen;bieden
to pursue;nastreven;achtervolgen
to react;reageren
to realise;beseffen;realiseren
to recognise;herkennen;erkennen
to recommend;aanbevelen
to recover;herstellen;terugkrijgen
to reduce;verminderen
to refer;verwijzen
to reflect;weerspiegelen;nadenken
to refuse;weigeren
to regard;beschouwen
to reject;afwijzen
to release;vrijlaten;uitbrengen
to rely;vertrouwen op
to remain;blijven
to remove;verwijderen
to replace;vervangen
to represent;vertegenwoordigen;weergeven
to require;vereisen
to resolve;oplossen
to respond;antwoorden;reageren
to restrict;beperken
to retain;behouden
to reveal;onthullen
to seek;zoeken;trachten
to select;selecteren;kiezen
to solve;oplossen
to specify;specificeren
to struggle;worstelen
to submit;indienen;zich onderwerpen
to succeed;slagen
to suffer;lijden
to suggest;voorstellen;suggereren
to support;steunen;ondersteunen;steun
to suppose;veronderstellen
to survive;overleven
to tackle;aanpakken
to threaten;bedreigen
to tolerate;tolereren;dulden
to transform;transformeren;omvormen
to treat;behandelen
to undergo;ondergaan
to undertake;ondernemen
to vary;variëren;verschillen
to withdraw;intrekken;zich terugtrekken
to witness;getuige zijn van
accurate;nauwkeurig;juist
adequate;voldoende;toereikend
advanced;gevorderd;geavanceerd
adverse;ongunstig;nadelig
ambiguous;dubbelzinnig;onduidelijk
ambitious;ambitieus
apparent;blijkbaar;ogenschijnlijk
appropriate;geschikt;passend
arbitrary;willekeurig
aware;zich bewust
beneficial;gunstig;voordelig
brief;kort;beknopt
capable;bekwaam;in staat
cautious;voorzichtig
certain;zeker;bepaald
coherent;samenhangend
common;algemeen;gemeenschappelijk
complex;ingewikkeld;complex
comprehensive;uitgebreid;alomvattend
concerned;bezorgd;betrokken
considerable;aanzienlijk
consistent;consistent;samenhangend
constant;voortdurend;constant
contemporary;hedendaags
controversial;omstreden
convenient;handig;gelegen
convincing;overtuigend
crucial;cruciaal;doorslaggevend
curious;nieuwsgierig;merkwaardig
deliberate;opzettelijk;weloverwogen
dense;dicht;compact
dependent;afhankelijk
desperate;wanhopig
distinct;duidelijk verschillend;onderscheiden
diverse;divers
domestic;binnenlands;huishoudelijk
dramatic;drastisch;dramatisch
efficient;efficiënt;doelmatig
elaborate;uitgebreid;uitgewerkt
elderly;bejaard;ouder
emotional;emotioneel
enormous;enorm;reusachtig
essential;essentieel;onmisbaar
evident;duidelijk;overduidelijk
excessive;buitensporig;overmatig
exceptional;uitzonderlijk
existing;bestaand
explicit;expliciet;uitdrukkelijk
external;extern;uitwendig
familiar;vertrouwd;bekend
flexible;flexibel
frequent;regelmatig;frequent
fundamental;fundamenteel
genuine;echt;oprecht
gradual;geleidelijk
harmful;schadelijk
hesitant;aarzelend
hostile;vijandig
identical;identiek
immediate;onmiddellijk
immense;immens;enorm
inevitable;onvermijdelijk
initial;aanvankelijk;eerste
innovative;innovatief;vernieuwend
intense;intens;hevig
internal;intern;inwendig
irrelevant;niet relevant;onbelangrijk
likely;waarschijnlijk
limited;beperkt
logical;logisch
major;belangrijk;groot
minor;klein;ondergeschikt
mutual;wederzijds
negative;negatief
numerous;talrijk
obvious;duidelijk;vanzelfsprekend
occasional;incidenteel;af en toe
ordinary;gewoon
overall;algemeen;totaal
permanent;permanent;blijvend
potential;potentieel;mogelijk
precise;precies;nauwkeurig
previous;vorig;voorgaand
primary;primair;voornaamste
principal;belangrijkste;voornaamste
profound;diepgaand
prominent;prominent;vooraanstaand
proper;juist;behoorlijk
rare;zeldzaam
reasonable;redelijk
relevant;relevant
reluctant;terughoudend;onwillig
remarkable;opmerkelijk
remote;afgelegen;op afstand
responsible;verantwoordelijk
rigid;star;onbuigzaam
rough;ruw;ongeveer
severe;ernstig;streng
significant;belangrijk;aanzienlijk
similar;vergelijkbaar;soortgelijk
sophisticated;geavanceerd;verfijnd
specific;specifiek
stable;stabiel
substantial;aanzienlijk;wezenlijk
sufficient;voldoende
suitable;geschikt
temporary;tijdelijk
thorough;grondig
typical;kenmerkend;typisch
unique;uniek
universal;universeel;algemeen
urgent;dringend
valid;geldig
valuable;waardevol
visible;zichtbaar
vital;essentieel;vitaal
vulnerable;kwetsbaar
widespread;wijdverspreid
abrupt;plotseling;abrupt
absurd;absurd;onzinnig
accessible;toegankelijk
accountable;verantwoordingsplichtig
acute;acuut;ernstig
additional;aanvullend;extra
aggressive;agressief
alternative;alternatief
